X=-1.537 Y=-33.862 Z=114.252,X=-0.126 Y=0.559 Z=0.819,X=0.139 Y=0.238,(R=255,G=255,B=255,A=255)
X=-8.627 Y=-66.175 Z=135.440,X=-0.134 Y=0.567 Z=0.811,X=0.125 Y=0.219,(R=255,G=255,B=255,A=255)
X=-6.319 Y=-33.652 Z=113.373,X=-0.512 Y=0.551 Z=0.661,X=0.141 Y=0.236,(R=255,G=255,B=255,A=255)
X=-57.566 Y=-108.511 Z=30.147,X=0.661 Y=0.693 Z=-0.268,X=0.126 Y=0.300,(R=255,G=255,B=255,A=255)
X=-68.469 Y=-107.415 Z=5.992,X=0.661 Y=0.693 Z=-0.268,X=0.111 Y=0.309,(R=255,G=255,B=255,A=255)
X=-55.804 Y=-110.300 Z=29.730,X=0.661 Y=0.693 Z=-0.268,X=0.125 Y=0.299,(R=255,G=255,B=255,A=255)
X=-55.804 Y=-110.300 Z=29.730,X=1.000 Y=-0.016 Z=0.008,X=0.125 Y=0.299,(R=255,G=255,B=255,A=255)
X=-68.469 Y=-107.415 Z=5.992,X=0.315 Y=0.945 Z=-0.055,X=0.111 Y=0.309,(R=255,G=255,B=255,A=255)
X=-69.364 Y=-107.860 Z=-8.839,X=0.937 Y=0.165 Z=-0.315,X=0.102 Y=0.312,(R=255,G=255,B=255,A=255)
X=94.101 Y=-50.604 Z=233.251,X=0.677 Y=0.551 Z=-0.488,X=0.107 Y=0.210,(R=255,G=255,B=255,A=255)
X=93.241 Y=-59.251 Z=241.345,X=0.496 Y=-0.819 Z=0.291,X=0.105 Y=0.209,(R=255,G=255,B=255,A=255)
X=102.070 Y=-23.153 Z=271.147,X=0.898 Y=0.228 Z=-0.386,X=0.106 Y=0.181,(R=255,G=255,B=255,A=255)
X=-11.388 Y=38.129 Z=84.512,X=0.890 Y=-0.449 Z=-0.031,X=0.115 Y=0.128,(R=255,G=255,B=255,A=255)
X=-12.817 Y=41.052 Z=86.640,X=0.283 Y=0.016 Z=0.961,X=0.114 Y=0.127,(R=255,G=255,B=255,A=255)
X=-3.819 Y=47.696 Z=82.372,X=0.756 Y=-0.646 Z=0.134,X=0.111 Y=0.117,(R=255,G=255,B=255,A=255)
X=58.516 Y=-5.644 Z=146.283,X=-0.480 Y=-0.260 Z=-0.835,X=0.036 Y=0.261,(R=255,G=255,B=255,A=255)
X=55.279 Y=-2.639 Z=149.177,X=-0.197 Y=0.543 Z=-0.811,X=0.038 Y=0.259,(R=255,G=255,B=255,A=255)
X=54.256 Y=-4.171 Z=148.384,X=-0.575 Y=-0.504 Z=-0.638,X=0.038 Y=0.259,(R=255,G=255,B=255,A=255)
X=-88.356 Y=-58.276 Z=272.298,X=-0.827 Y=0.551 Z=-0.063,X=0.106 Y=0.011,(R=255,G=255,B=255,A=255)
X=-107.332 Y=-97.761 Z=202.061,X=-0.756 Y=-0.567 Z=0.331,X=0.161 Y=0.012,(R=255,G=255,B=255,A=255)
X=-106.625 Y=-92.812 Z=199.887,X=-0.339 Y=0.906 Z=-0.268,X=0.161 Y=0.011,(R=255,G=255,B=255,A=255)
X=-106.625 Y=-92.812 Z=199.887,X=-0.339 Y=0.906 Z=-0.268,X=0.161 Y=0.011,(R=255,G=255,B=255,A=255)
X=-118.704 Y=-122.449 Z=92.108,X=-0.969 Y=-0.197 Z=0.142,X=0.238 Y=0.011,(R=255,G=255,B=255,A=255)
X=-117.690 Y=-119.031 Z=91.147,X=-0.417 Y=0.890 Z=-0.189,X=0.238 Y=0.011,(R=255,G=255,B=255,A=255)
X=-70.084 Y=-82.771 Z=251.016,X=0.220 Y=-0.913 Z=0.339,X=0.123 Y=0.027,(R=255,G=255,B=255,A=255)
X=-69.679 Y=-78.465 Z=247.673,X=0.835 Y=0.378 Z=-0.402,X=0.123 Y=0.027,(R=255,G=255,B=255,A=255)
X=-86.280 Y=-110.206 Z=188.587,X=0.661 Y=-0.748 Z=0.102,X=0.170 Y=0.027,(R=255,G=255,B=255,A=255)
X=90.163 Y=-84.562 Z=29.730,X=-0.858 Y=0.433 Z=-0.276,X=0.125 Y=0.299,(R=255,G=255,B=255,A=255)
X=101.078 Y=-77.520 Z=5.992,X=-0.858 Y=0.433 Z=-0.276,X=0.111 Y=0.309,(R=255,G=255,B=255,A=255)
X=91.208 Y=-82.278 Z=30.147,X=-0.858 Y=0.433 Z=-0.276,X=0.126 Y=0.300,(R=255,G=255,B=255,A=255)
X=102.071 Y=-77.631 Z=-8.839,X=-0.929 Y=-0.173 Z=-0.323,X=0.102 Y=0.312,(R=255,G=255,B=255,A=255)
X=101.078 Y=-77.520 Z=5.992,X=-0.606 Y=0.795 Z=-0.055,X=0.111 Y=0.309,(R=255,G=255,B=255,A=255)
X=90.163 Y=-84.562 Z=29.730,X=-0.724 Y=-0.677 Z=-0.126,X=0.125 Y=0.299,(R=255,G=255,B=255,A=255)
X=118.770 Y=-74.050 Z=188.587,X=-0.354 Y=-0.929 Z=0.110,X=0.170 Y=0.027,(R=255,G=255,B=255,A=255)
X=92.314 Y=-49.901 Z=247.673,X=-0.906 Y=0.079 Z=-0.409,X=0.123 Y=0.027,(R=255,G=255,B=255,A=255)
X=94.167 Y=-53.810 Z=251.016,X=0.126 Y=-0.929 Z=0.339,X=0.123 Y=0.027,(R=255,G=255,B=255,A=255)
X=151.304 Y=-71.600 Z=91.147,X=0.102 Y=0.976 Z=-0.181,X=0.238 Y=0.011,(R=255,G=255,B=255,A=255)
X=153.425 Y=-74.466 Z=92.108,X=0.976 Y=0.165 Z=0.126,X=0.238 Y=0.011,(R=255,G=255,B=255,A=255)
X=131.938 Y=-50.747 Z=199.887,X=0.024 Y=0.961 Z=-0.268,X=0.161 Y=0.011,(R=255,G=255,B=255,A=255)
X=131.938 Y=-50.747 Z=199.887,X=0.024 Y=0.961 Z=-0.268,X=0.161 Y=0.011,(R=255,G=255,B=255,A=255)
X=134.295 Y=-55.156 Z=202.061,X=0.906 Y=-0.260 Z=0.323,X=0.161 Y=0.012,(R=255,G=255,B=255,A=255)
X=102.959 Y=-24.542 Z=272.298,X=0.598 Y=0.795 Z=-0.055,X=0.106 Y=0.011,(R=255,G=255,B=255,A=255)
X=127.241 Y=-81.373 Z=93.629,X=0.425 Y=0.898 Z=-0.118,X=0.197 Y=0.038,(R=255,G=255,B=255,A=255)
X=128.211 Y=-84.788 Z=94.360,X=0.992 Y=-0.102 Z=0.102,X=0.197 Y=0.038,(R=255,G=255,B=255,A=255)
X=118.017 Y=-67.151 Z=177.558,X=0.449 Y=0.890 Z=-0.102,X=0.141 Y=0.038,(R=255,G=255,B=255,A=255)
X=-87.996 Y=-56.667 Z=271.147,X=-0.913 Y=-0.079 Z=-0.394,X=0.106 Y=0.181,(R=255,G=255,B=255,A=255)
X=-67.353 Y=-87.568 Z=241.345,X=-0.173 Y=-0.937 Z=0.299,X=0.105 Y=0.209,(R=255,G=255,B=255,A=255)
X=-71.119 Y=-79.737 Z=233.251,X=-0.811 Y=0.299 Z=-0.496,X=0.107 Y=0.210,(R=255,G=255,B=255,A=255)
X=13.025 Y=-31.294 Z=114.252,X=-0.748 Y=0.039 Z=0.669,X=0.142 Y=0.236,(R=255,G=255,B=255,A=255)
X=17.448 Y=-29.461 Z=113.373,X=0.307 Y=0.693 Z=0.654,X=0.143 Y=0.235,(R=255,G=255,B=255,A=255)
X=30.740 Y=-59.234 Z=135.440,X=-0.756 Y=0.016 Z=0.661,X=0.126 Y=0.215,(R=255,G=255,B=255,A=255)
X=48.303 Y=16.527 Z=-99.631,X=0.409 Y=-0.071 Z=-0.906,X=0.583 Y=0.216,(R=255,G=255,B=255,A=255)
X=26.856 Y=-22.708 Z=-99.631,X=0.157 Y=-0.441 Z=-0.882,X=0.583 Y=0.201,(R=255,G=255,B=255,A=255)
X=28.537 Y=-23.266 Z=-98.767,X=0.307 Y=-0.417 Z=-0.858,X=0.579 Y=0.201,(R=255,G=255,B=255,A=255)
X=28.537 Y=-23.266 Z=-98.767,X=0.307 Y=-0.417 Z=-0.858,X=0.579 Y=0.201,(R=255,G=255,B=255,A=255)
X=50.079 Y=16.527 Z=-98.767,X=0.409 Y=0.055 Z=-0.913,X=0.579 Y=0.216,(R=255,G=255,B=255,A=255)
X=48.303 Y=16.527 Z=-99.631,X=0.409 Y=-0.071 Z=-0.906,X=0.583 Y=0.216,(R=255,G=255,B=255,A=255)
X=26.856 Y=55.763 Z=-99.631,X=0.236 Y=0.386 Z=-0.890,X=0.583 Y=0.129,(R=255,G=255,B=255,A=255)
X=28.536 Y=56.321 Z=-98.767,X=0.252 Y=0.496 Z=-0.835,X=0.579 Y=0.129,(R=255,G=255,B=255,A=255)
X=-0.299 Y=59.962 Z=-98.767,X=-0.008 Y=0.535 Z=-0.843,X=0.579 Y=0.139,(R=255,G=255,B=255,A=255)
X=-0.299 Y=59.962 Z=-98.767,X=-0.008 Y=0.535 Z=-0.843,X=0.579 Y=0.139,(R=255,G=255,B=255,A=255)
X=-0.300 Y=57.242 Z=-99.631,X=0.000 Y=0.291 Z=-0.953,X=0.583 Y=0.139,(R=255,G=255,B=255,A=255)
X=26.856 Y=55.763 Z=-99.631,X=0.236 Y=0.386 Z=-0.890,X=0.583 Y=0.129,(R=255,G=255,B=255,A=255)
X=-48.915 Y=16.527 Z=-99.631,X=-0.425 Y=-0.071 Z=-0.906,X=0.583 Y=0.165,(R=255,G=255,B=255,A=255)
X=-50.686 Y=16.527 Z=-98.767,X=-0.425 Y=0.055 Z=-0.906,X=0.579 Y=0.165,(R=255,G=255,B=255,A=255)
X=-29.067 Y=-23.266 Z=-98.767,X=-0.323 Y=-0.417 Z=-0.850,X=0.579 Y=0.182,(R=255,G=255,B=255,A=255)
X=-29.067 Y=-23.266 Z=-98.767,X=-0.323 Y=-0.417 Z=-0.850,X=0.579 Y=0.182,(R=255,G=255,B=255,A=255)
X=-27.385 Y=-22.708 Z=-99.631,X=-0.173 Y=-0.441 Z=-0.882,X=0.583 Y=0.182,(R=255,G=255,B=255,A=255)
X=-48.915 Y=16.527 Z=-99.631,X=-0.425 Y=-0.071 Z=-0.906,X=0.583 Y=0.165,(R=255,G=255,B=255,A=255)
X=-27.385 Y=55.763 Z=-99.631,X=-0.244 Y=0.378 Z=-0.890,X=0.583 Y=0.148,(R=255,G=255,B=255,A=255)
X=-0.300 Y=57.242 Z=-99.631,X=0.000 Y=0.291 Z=-0.953,X=0.583 Y=0.139,(R=255,G=255,B=255,A=255)
X=-0.299 Y=59.962 Z=-98.767,X=-0.008 Y=0.535 Z=-0.843,X=0.579 Y=0.139,(R=255,G=255,B=255,A=255)
X=-0.299 Y=59.962 Z=-98.767,X=-0.008 Y=0.535 Z=-0.843,X=0.579 Y=0.139,(R=255,G=255,B=255,A=255)
X=-29.067 Y=56.321 Z=-98.767,X=-0.260 Y=0.488 Z=-0.835,X=0.579 Y=0.148,(R=255,G=255,B=255,A=255)
X=-27.385 Y=55.763 Z=-99.631,X=-0.244 Y=0.378 Z=-0.890,X=0.583 Y=0.148,(R=255,G=255,B=255,A=255)
X=91.465 Y=10.306 Z=45.592,X=-0.858 Y=-0.008 Z=0.520,X=0.415 Y=0.148,(R=255,G=255,B=255,A=255)
X=88.404 Y=16.527 Z=40.661,X=-0.858 Y=-0.008 Z=0.520,X=0.413 Y=0.151,(R=255,G=255,B=255,A=255)
X=91.465 Y=22.749 Z=45.592,X=-0.858 Y=-0.008 Z=0.520,X=0.415 Y=0.154,(R=255,G=255,B=255,A=255)
X=-6.525 Y=-75.242 Z=45.592,X=-0.016 Y=0.850 Z=0.528,X=0.374 Y=0.112,(R=255,G=255,B=255,A=255)
X=-0.304 Y=-72.180 Z=40.661,X=-0.016 Y=0.850 Z=0.528,X=0.376 Y=0.114,(R=255,G=255,B=255,A=255)
X=5.917 Y=-75.242 Z=45.592,X=-0.016 Y=0.850 Z=0.528,X=0.379 Y=0.112,(R=255,G=255,B=255,A=255)
X=-92.073 Y=22.749 Z=45.592,X=0.850 Y=-0.016 Z=0.528,X=0.337 Y=0.154,(R=255,G=255,B=255,A=255)
X=-89.011 Y=16.527 Z=40.661,X=0.850 Y=-0.016 Z=0.528,X=0.339 Y=0.151,(R=255,G=255,B=255,A=255)
X=-92.073 Y=10.306 Z=45.592,X=0.850 Y=-0.016 Z=0.528,X=0.337 Y=0.148,(R=255,G=255,B=255,A=255)
X=5.917 Y=108.296 Z=45.592,X=-0.008 Y=-0.858 Z=0.520,X=0.379 Y=0.190,(R=255,G=255,B=255,A=255)
X=-0.304 Y=105.235 Z=40.661,X=-0.008 Y=-0.858 Z=0.520,X=0.376 Y=0.188,(R=255,G=255,B=255,A=255)
X=-6.525 Y=108.296 Z=45.592,X=-0.008 Y=-0.858 Z=0.520,X=0.374 Y=0.190,(R=255,G=255,B=255,A=255)
X=110.311 Y=10.306 Z=38.061,X=0.087 Y=-1.000 Z=0.016,X=0.520 Y=0.166,(R=255,G=255,B=255,A=255)
X=108.113 Y=10.306 Z=45.592,X=0.087 Y=-1.000 Z=0.016,X=0.520 Y=0.159,(R=255,G=255,B=255,A=255)
X=117.869 Y=11.296 Z=45.450,X=0.087 Y=-1.000 Z=0.016,X=0.518 Y=0.163,(R=255,G=255,B=255,A=255)
X=117.869 Y=11.296 Z=45.450,X=0.063 Y=-1.000 Z=0.039,X=0.518 Y=0.163,(R=255,G=255,B=255,A=255)
X=122.595 Y=11.296 Z=38.818,X=0.063 Y=-1.000 Z=0.039,X=0.518 Y=0.166,(R=255,G=255,B=255,A=255)
X=110.311 Y=10.306 Z=38.061,X=0.063 Y=-1.000 Z=0.039,X=0.520 Y=0.166,(R=255,G=255,B=255,A=255)
X=108.113 Y=22.749 Z=45.592,X=0.079 Y=1.000 Z=0.024,X=0.510 Y=0.159,(R=255,G=255,B=255,A=255)
X=110.311 Y=22.749 Z=38.061,X=0.079 Y=1.000 Z=0.024,X=0.511 Y=0.166,(R=255,G=255,B=255,A=255)
X=122.595 Y=21.759 Z=38.818,X=0.079 Y=1.000 Z=0.024,X=0.513 Y=0.166,(R=255,G=255,B=255,A=255)
X=122.595 Y=21.759 Z=38.818,X=0.094 Y=0.992 Z=0.063,X=0.513 Y=0.166,(R=255,G=255,B=255,A=255)
X=117.869 Y=21.759 Z=45.450,X=0.094 Y=0.992 Z=0.063,X=0.513 Y=0.163,(R=255,G=255,B=255,A=255)
X=108.113 Y=22.749 Z=45.592,X=0.094 Y=0.992 Z=0.063,X=0.510 Y=0.159,(R=255,G=255,B=255,A=255)
